Geographic Area,Geographic Name,Gender,Age,Year,Time Period,Time Period Dates,Estimated Lost Lifetime Wages,Estimated Lost Lifetime Wages Description,Estimated Lost Lifetime State Income Tax Revenue,Estimated Lost Lifetime State Income Tax Revenue Description,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude,Georeferenced Latitude & Longitude
County,Greene,All,All (0 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,9055001.30,Estimated lost lifetime wages due to mortality caused by opioid use,277988.54,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,30,30,42,059,"(39.8548039342, -80.2294381655)",37
County,Montgomery,All,All (0 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,254450884.87,Estimated lost lifetime wages due to mortality caused by opioid use,7811642.17,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,46,46,42,091,"(40.209898739, -75.3725200072)",57
County,Philadelphia,All,All (0 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,693256888.29,Estimated lost lifetime wages due to mortality caused by opioid use,21282986.47,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,51,51,42,101,"(40.0044435384, -75.140236002)",13
County,Luzerne,All,All (0 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,98377946.77,Estimated lost lifetime wages due to mortality caused by opioid use,3020202.97,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,40,40,42,079,"(41.1783643884, -75.991996098)",14
County,Sullivan,All,All (0 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,,Estimated lost lifetime wages due to mortality caused by opioid use,,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,57,57,42,113,"(41.4480993958, -76.5147922046)",67
County,Potter,All,All (0 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,2918018.94,Estimated lost lifetime wages due to mortality caused by opioid use,89583.18,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,53,53,42,105,"(41.7442064382, -77.8987922939)",63
County,Union,All,All (0 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,10440706.89,Estimated lost lifetime wages due to mortality caused by opioid use,320529.70,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,60,60,42,119,"(40.9647313096, -77.0641580308)",49
County,Adams,All,All (0 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,15862531.57,Estimated lost lifetime wages due to mortality caused by opioid use,486979.72,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,1,01,42,001,"(39.8720956503, -77.2222427076)",39
County,Elk,All,All (0 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,6054236.15,Estimated lost lifetime wages due to mortality caused by opioid use,185865.05,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,24,24,42,047,"(41.4281941606, -78.6494771322)",29
County,Clearfield,All,All (0 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,13639100.45,Estimated lost lifetime wages due to mortality caused by opioid use,418720.38,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,17,17,42,033,"(41.0004290024, -78.4755834299)",8
County,Bradford,All,All (0 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,9856681.94,Estimated lost lifetime wages due to mortality caused by opioid use,302600.14,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,8,08,42,015,"(41.7911781401, -76.5182562384)",34
County,Centre,All,All (0 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,47963765.32,Estimated lost lifetime wages due to mortality caused by opioid use,1472487.60,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,14,14,42,027,"(40.9193135008, -77.8250011212)",5
County,Bradford,All,All (0 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,11321705.61,Estimated lost lifetime wages due to mortality caused by opioid use,347576.36,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,8,08,42,015,"(41.7911781401, -76.5182562384)",34
County,Dauphin,All,All (0 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,76163993.17,Estimated lost lifetime wages due to mortality caused by opioid use,2338234.59,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,22,22,42,043,"(40.4197463597, -76.7796056802)",18
County,Armstrong,All,All (0 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,17778421.72,Estimated lost lifetime wages due to mortality caused by opioid use,545797.55,Estimated lifetime state income tax revenue lost due to mortality caused by opioid use,3,03,42,005,"(40.8150952555, -79.4731689893)",41
