FIPS State Code,FIPS County Code,Pennsylvania County Code,County,Fiscal Year,Sales,Latitude,Longitude,Georeferenced County location
42,005,03,Armstrong,2017-18,4276002,40.815095,-79.473169,POINT (-79.47316899 40.81509526)
42,009,05,Bedford,2018-19,3973579,40.007375,-78.491165,POINT (-78.49116474 40.00737536)
42,069,35,Lackawanna,2017-18,43662634,41.439101,-75.612183,POINT (-75.61218345 41.43910064)
42,001,01,Adams,2016-17,6423569,39.872096,-77.222243,POINT (-77.22224271 39.87209565)
42,043,22,Dauphin,2017-18,50813311,40.419746,-76.779606,POINT (-76.77960568 40.41974636)
42,073,37,Lawrence,2018-19,9879665,40.993250,-80.337541,POINT (-80.33754114 40.99325035)
42,097,49,Northumberland,2017-18,6495335,40.851509,-76.711884,POINT (-76.71188423 40.85150926)
42,011,06,Berks,2016-17,58375503,40.419396,-75.930773,POINT (-75.93077327 40.41939635)
42,107,54,Schuylkill,2017-18,13315626,40.707512,-76.223324,POINT (-76.22332385 40.70751243)
42,021,11,Cambria,2016-17,15485694,40.491275,-78.718942,POINT (-78.71894174 40.49127491)
42,113,57,Sullivan,2016-17,742019,41.448099,-76.514792,POINT (-76.5147922 41.4480994)
42,017,09,Bucks,2018-19,151932397,40.335011,-75.112912,POINT (-75.11291241 40.33501133)
42,039,20,Crawford,2018-19,9604482,41.685469,-80.113211,POINT (-80.11321083 41.68546907)
42,081,41,Lycoming,2018-19,17835934,41.344598,-77.069425,POINT (-77.06942457 41.34459792)
42,103,52,Pike,2018-19,8369409,41.332572,-75.032709,POINT (-75.03270924 41.332572)
42,085,43,Mercer,2016-17,14469685,41.302378,-80.260094,POINT (-80.26009411 41.30237777)
42,049,25,Erie,2016-17,49416945,41.994138,-80.040759,POINT (-80.0407591 41.99413787)
42,075,38,Lebanon,2016-17,13924755,40.367597,-76.461826,POINT (-76.46182575 40.367597)
42,051,26,Fayette,2016-17,12376780,39.919448,-79.651896,POINT (-79.65189635 39.9194478)
42,105,53,Potter,2016-17,1340260,41.744206,-77.898792,POINT (-77.89879229 41.74420644)
42,029,15,Chester,2016-17,134082506,39.974871,-75.756265,POINT (-75.75626498 39.97487056)
42,101,51,Philadelphia,2018-19,256390611,40.004444,-75.140236,POINT (-75.140236 40.00444354)
42,087,44,Mifflin,2017-18,3568067,40.612749,-77.620031,POINT (-77.62003089 40.61274928)
42,117,59,Tioga,2017-18,3981947,41.773338,-77.257881,POINT (-77.25788076 41.77333834)
42,125,63,Washington,2018-19,33351984,40.191097,-80.251801,POINT (-80.25180083 40.19109663)
42,047,24,Elk,2018-19,2807881,41.428194,-78.649477,POINT (-78.64947713 41.42819416)
42,111,56,Somerset,2018-19,5195214,39.971463,-79.031002,POINT (-79.03100206 39.97146299)
42,041,21,Cumberland,2016-17,47971374,40.167598,-77.268663,POINT (-77.26866271 40.16759839)
42,093,47,Montour,2016-17,3313157,41.028018,-76.664705,POINT (-76.66470527 41.02801824)
42,053,27,Forest,2017-18,906731,41.513579,-79.237810,POINT (-79.23780995 41.51357876)
42,037,19,Columbia,2018-19,8542098,41.049121,-76.410022,POINT (-76.4100218 41.04912086)
42,115,58,Susquehanna,2016-17,2716438,41.820569,-75.802503,POINT (-75.80250303 41.8205686)
42,023,12,Cameron,2017-18,444984,41.438803,-78.209169,POINT (-78.20916932 41.43880265)
42,059,30,Greene,2016-17,2459809,39.854804,-80.229438,POINT (-80.22943817 39.85480393)
42,061,31,Huntingdon,2018-19,3457314,40.416105,-77.982766,POINT (-77.9827661 40.416105)
42,091,46,Montgomery,2018-19,222612635,40.209899,-75.372520,POINT (-75.37252001 40.20989874)
42,079,40,Luzerne,2017-18,52071555,41.178364,-75.991996,POINT (-75.9919961 41.17836439)
42,109,55,Snyder,2017-18,4040245,40.771137,-77.072560,POINT (-77.07255968 40.77113737)
42,035,18,Clinton,2017-18,3027246,41.232863,-77.642838,POINT (-77.6428376 41.23286274)
42,027,14,Centre,2018-19,29131783,40.919314,-77.825001,POINT (-77.82500112 40.9193135)
42,123,62,Warren,2016-17,4025334,41.816752,-79.278582,POINT (-79.27858158 41.81675237)
42,131,66,Wyoming,2017-18,3132734,41.518925,-76.018130,POINT (-76.01813003 41.51892488)
42,045,23,Delaware,2017-18,85020586,39.916579,-75.406277,POINT (-75.40627712 39.91657867)
42,133,67,York,2017-18,63316981,39.921925,-76.725761,POINT (-76.72576052 39.92192531)
42,099,50,Perry,2017-18,2221327,40.404153,-77.259074,POINT (-77.25907385 40.40415317)
42,003,02,Allegheny,2016-17,300167811,40.467355,-79.986198,POINT (-79.98619843 40.46735543)
42,015,08,Bradford,2017-18,5369526,41.791178,-76.518256,POINT (-76.51825624 41.79117814)
42,013,07,Blair,2016-17,15613815,40.485550,-78.349077,POINT (-78.34907687 40.48555024)
42,121,61,Venango,2016-17,4841983,41.403413,-79.762866,POINT (-79.76286561 41.40341259)
42,101,51,Philadelphia,2017-18,253019623,40.004444,-75.140236,POINT (-75.140236 40.00444354)
42,037,19,Columbia,2017-18,9014563,41.049121,-76.410022,POINT (-76.4100218 41.04912086)
42,071,36,Lancaster,2017-18,69919963,40.045908,-76.251388,POINT (-76.25138768 40.04590796)
42,057,29,Fulton,2016-17,640516,39.924875,-78.114850,POINT (-78.11485045 39.92487511)
42,077,39,Lehigh,2016-17,80412846,40.614648,-75.600995,POINT (-75.60099481 40.61464794)
42,053,27,Forest,2018-19,903975,41.513579,-79.237810,POINT (-79.23780995 41.51357876)
42,007,04,Beaver,2017-18,21334870,40.683492,-80.351074,POINT (-80.35107356 40.68349245)
42,117,59,Tioga,2018-19,4040450,41.773338,-77.257881,POINT (-77.25788076 41.77333834)
42,043,22,Dauphin,2016-17,51608240,40.419746,-76.779606,POINT (-76.77960568 40.41974636)
42,007,04,Beaver,2018-19,22627906,40.683492,-80.351074,POINT (-80.35107356 40.68349245)
42,063,32,Indiana,2018-19,8861427,40.652955,-79.093335,POINT (-79.09333493 40.65295497)
42,067,34,Juniata,2016-17,1238284,40.534330,-77.405775,POINT (-77.405775 40.53433008)
42,051,26,Fayette,2017-18,12706946,39.919448,-79.651896,POINT (-79.65189635 39.9194478)
42,127,64,Wayne,2018-19,13377980,41.649698,-75.305154,POINT (-75.3051535 41.64969805)
42,131,66,Wyoming,2016-17,2787245,41.518925,-76.018130,POINT (-76.01813003 41.51892488)
42,061,31,Huntingdon,2017-18,3562765,40.416105,-77.982766,POINT (-77.9827661 40.416105)
42,045,23,Delaware,2018-19,88114171,39.916579,-75.406277,POINT (-75.40627712 39.91657867)
42,019,10,Butler,2016-17,37280253,40.910832,-79.917118,POINT (-79.91711779 40.91083185)
42,109,55,Snyder,2018-19,3941006,40.771137,-77.072560,POINT (-77.07255968 40.77113737)
42,107,54,Schuylkill,2016-17,13144373,40.707512,-76.223324,POINT (-76.22332385 40.70751243)
42,071,36,Lancaster,2018-19,70275893,40.045908,-76.251388,POINT (-76.25138768 40.04590796)
42,015,08,Bradford,2018-19,5453061,41.791178,-76.518256,POINT (-76.51825624 41.79117814)
42,085,43,Mercer,2017-18,14784639,41.302378,-80.260094,POINT (-80.26009411 41.30237777)
42,115,58,Susquehanna,2017-18,2829965,41.820569,-75.802503,POINT (-75.80250303 41.8205686)
42,021,11,Cambria,2017-18,15626401,40.491275,-78.718942,POINT (-78.71894174 40.49127491)
42,119,60,Union,2018-19,6096031,40.964731,-77.064158,POINT (-77.06415803 40.96473131)
42,059,30,Greene,2017-18,2547789,39.854804,-80.229438,POINT (-80.22943817 39.85480393)
42,079,40,Luzerne,2018-19,53162890,41.178364,-75.991996,POINT (-75.9919961 41.17836439)
42,027,14,Centre,2016-17,30407219,40.919314,-77.825001,POINT (-77.82500112 40.9193135)
42,125,63,Washington,2017-18,32824709,40.191097,-80.251801,POINT (-80.25180083 40.19109663)
42,083,42,McKean,2016-17,4434634,41.810371,-78.571220,POINT (-78.5712202 41.81037074)
42,001,01,Adams,2018-19,6359809,39.872096,-77.222243,POINT (-77.22224271 39.87209565)
42,013,07,Blair,2017-18,15827213,40.485550,-78.349077,POINT (-78.34907687 40.48555024)
42,123,62,Warren,2017-18,3981261,41.816752,-79.278582,POINT (-79.27858158 41.81675237)
42,077,39,Lehigh,2017-18,79015862,40.614648,-75.600995,POINT (-75.60099481 40.61464794)
42,005,03,Armstrong,2016-17,4661284,40.815095,-79.473169,POINT (-79.47316899 40.81509526)
42,065,33,Jefferson,2018-19,2935045,41.131391,-79.001018,POINT (-79.00101814 41.13139091)
42,065,33,Jefferson,2016-17,2986546,41.131391,-79.001018,POINT (-79.00101814 41.13139091)
42,069,35,Lackawanna,2016-17,42922632,41.439101,-75.612183,POINT (-75.61218345 41.43910064)
42,029,15,Chester,2018-19,116033502,39.974871,-75.756265,POINT (-75.75626498 39.97487056)
42,091,46,Montgomery,2016-17,222293222,40.209899,-75.372520,POINT (-75.37252001 40.20989874)
42,055,28,Franklin,2018-19,14173729,39.927862,-77.723988,POINT (-77.72398845 39.92786197)
42,129,65,Westmoreland,2016-17,63390418,40.310315,-79.471341,POINT (-79.47134118 40.310315)
42,093,47,Montour,2018-19,3305082,41.028018,-76.664705,POINT (-76.66470527 41.02801824)
42,035,18,Clinton,2016-17,3335217,41.232863,-77.642838,POINT (-77.6428376 41.23286274)
42,031,16,Clarion,2018-19,3988114,41.192791,-79.424836,POINT (-79.42483608 41.19279129)
42,085,43,Mercer,2018-19,15228963,41.302378,-80.260094,POINT (-80.26009411 41.30237777)
42,115,58,Susquehanna,2018-19,2799481,41.820569,-75.802503,POINT (-75.80250303 41.8205686)
42,045,23,Delaware,2016-17,86720814,39.916579,-75.406277,POINT (-75.40627712 39.91657867)
42,089,45,Monroe,2016-17,35818050,41.060918,-75.340836,POINT (-75.34083603 41.06091787)
42,119,60,Union,2016-17,5873837,40.964731,-77.064158,POINT (-77.06415803 40.96473131)
42,103,52,Pike,2017-18,8107229,41.332572,-75.032709,POINT (-75.03270924 41.332572)
42,055,28,Franklin,2016-17,13752145,39.927862,-77.723988,POINT (-77.72398845 39.92786197)
42,009,05,Bedford,2017-18,4001631,40.007375,-78.491165,POINT (-78.49116474 40.00737536)
42,025,13,Carbon,2016-17,5232179,40.919367,-75.711070,POINT (-75.71107039 40.91936701)
42,109,55,Snyder,2016-17,3898248,40.771137,-77.072560,POINT (-77.07255968 40.77113737)
42,021,11,Cambria,2018-19,15899361,40.491275,-78.718942,POINT (-78.71894174 40.49127491)
42,099,50,Perry,2016-17,1696990,40.404153,-77.259074,POINT (-77.25907385 40.40415317)
42,095,48,Northampton,2018-19,47654771,40.754595,-75.312637,POINT (-75.31263726 40.7545954)
42,039,20,Crawford,2017-18,9546126,41.685469,-80.113211,POINT (-80.11321083 41.68546907)
42,051,26,Fayette,2018-19,13241615,39.919448,-79.651896,POINT (-79.65189635 39.9194478)
42,107,54,Schuylkill,2018-19,13407972,40.707512,-76.223324,POINT (-76.22332385 40.70751243)
42,077,39,Lehigh,2018-19,79570054,40.614648,-75.600995,POINT (-75.60099481 40.61464794)
42,093,47,Montour,2017-18,3274866,41.028018,-76.664705,POINT (-76.66470527 41.02801824)
42,029,15,Chester,2017-18,115086918,39.974871,-75.756265,POINT (-75.75626498 39.97487056)
42,019,10,Butler,2017-18,38134247,40.910832,-79.917118,POINT (-79.91711779 40.91083185)
42,015,08,Bradford,2016-17,5167788,41.791178,-76.518256,POINT (-76.51825624 41.79117814)
42,079,40,Luzerne,2016-17,51581838,41.178364,-75.991996,POINT (-75.9919961 41.17836439)
42,063,32,Indiana,2017-18,9068199,40.652955,-79.093335,POINT (-79.09333493 40.65295497)
42,073,37,Lawrence,2017-18,9586959,40.993250,-80.337541,POINT (-80.33754114 40.99325035)
42,013,07,Blair,2018-19,15646952,40.485550,-78.349077,POINT (-78.34907687 40.48555024)
42,049,25,Erie,2017-18,49304384,41.994138,-80.040759,POINT (-80.0407591 41.99413787)
42,133,67,York,2016-17,62874044,39.921925,-76.725761,POINT (-76.72576052 39.92192531)
42,043,22,Dauphin,2018-19,50962544,40.419746,-76.779606,POINT (-76.77960568 40.41974636)
42,129,65,Westmoreland,2018-19,65691078,40.310315,-79.471341,POINT (-79.47134118 40.310315)
42,083,42,McKean,2017-18,4591196,41.810371,-78.571220,POINT (-78.5712202 41.81037074)
42,127,64,Wayne,2017-18,13111936,41.649698,-75.305154,POINT (-75.3051535 41.64969805)
42,003,02,Allegheny,2018-19,309592819,40.467355,-79.986198,POINT (-79.98619843 40.46735543)
42,007,04,Beaver,2016-17,20798392,40.683492,-80.351074,POINT (-80.35107356 40.68349245)
42,027,14,Centre,2017-18,29287523,40.919314,-77.825001,POINT (-77.82500112 40.9193135)
42,067,34,Juniata,2018-19,1171651,40.534330,-77.405775,POINT (-77.405775 40.53433008)
42,071,36,Lancaster,2016-17,68732903,40.045908,-76.251388,POINT (-76.25138768 40.04590796)
42,057,29,Fulton,2018-19,706454,39.924875,-78.114850,POINT (-78.11485045 39.92487511)
42,091,46,Montgomery,2017-18,220029212,40.209899,-75.372520,POINT (-75.37252001 40.20989874)
42,113,57,Sullivan,2017-18,699416,41.448099,-76.514792,POINT (-76.5147922 41.4480994)
42,121,61,Venango,2018-19,4825014,41.403413,-79.762866,POINT (-79.76286561 41.40341259)
42,023,12,Cameron,2018-19,468723,41.438803,-78.209169,POINT (-78.20916932 41.43880265)
42,097,49,Northumberland,2016-17,6477071,40.851509,-76.711884,POINT (-76.71188423 40.85150926)
42,127,64,Wayne,2016-17,12905763,41.649698,-75.305154,POINT (-75.3051535 41.64969805)
42,037,19,Columbia,2016-17,8924309,41.049121,-76.410022,POINT (-76.4100218 41.04912086)
42,033,17,Clearfield,2018-19,8218898,41.000429,-78.475583,POINT (-78.47558343 41.000429)
42,057,29,Fulton,2017-18,644809,39.924875,-78.114850,POINT (-78.11485045 39.92487511)
42,101,51,Philadelphia,2016-17,248368904,40.004444,-75.140236,POINT (-75.140236 40.00444354)
42,001,01,Adams,2017-18,6238945,39.872096,-77.222243,POINT (-77.22224271 39.87209565)
42,131,66,Wyoming,2018-19,3028722,41.518925,-76.018130,POINT (-76.01813003 41.51892488)
42,087,44,Mifflin,2018-19,3623237,40.612749,-77.620031,POINT (-77.62003089 40.61274928)
42,097,49,Northumberland,2018-19,6527425,40.851509,-76.711884,POINT (-76.71188423 40.85150926)
42,033,17,Clearfield,2016-17,7922397,41.000429,-78.475583,POINT (-78.47558343 41.000429)
42,121,61,Venango,2017-18,4874706,41.403413,-79.762866,POINT (-79.76286561 41.40341259)
42,063,32,Indiana,2016-17,8977681,40.652955,-79.093335,POINT (-79.09333493 40.65295497)
42,041,21,Cumberland,2018-19,49463079,40.167598,-77.268663,POINT (-77.26866271 40.16759839)
42,023,12,Cameron,2016-17,449623,41.438803,-78.209169,POINT (-78.20916932 41.43880265)
42,011,06,Berks,2017-18,58780226,40.419396,-75.930773,POINT (-75.93077327 40.41939635)
